,As of,Rank,Title,Type,Days In Top 10
1156,2020-07-25,7,Animal Crackers,Movie,1
1158,2020-07-25,9,The Kissing Booth,Movie,1
1160,2020-07-26,1,The Kissing Booth 2,Movie,2
1164,2020-07-26,5,Animal Crackers,Movie,2
1165,2020-07-26,6,The Kissing Booth,Movie,2
1166,2020-07-26,7,Ip Man 4: The Finale,Movie,4
1168,2020-07-26,9,The Old Guard,Movie,13
1170,2020-07-27,1,The Kissing Booth 2,Movie,3
1175,2020-07-27,6,Animal Crackers,Movie,3
1176,2020-07-27,7,The Kissing Booth,Movie,3
1177,2020-07-27,8,The Old Guard,Movie,14
1179,2020-07-27,10,Ip Man 4: The Finale,Movie,5
1180,2020-07-28,1,The Kissing Booth 2,Movie,4
1184,2020-07-28,5,Animal Crackers,Movie,4
1186,2020-07-28,7,The Kissing Booth,Movie,4
1190,2020-07-29,1,The Kissing Booth 2,Movie,5
1192,2020-07-29,3,Animal Crackers,Movie,5
1197,2020-07-29,8,The Kissing Booth,Movie,5
1201,2020-07-30,2,The Kissing Booth 2,Movie,6
1204,2020-07-30,5,Animal Crackers,Movie,6
1207,2020-07-30,8,The Kissing Booth,Movie,6
